,subcategory,prompt,stimulus,choices,correct_choice,explanation
0,Analogies,LIBRARY is to BOOKS as …,,"{'A': 'FOREST is to TREES', 'B': 'MUSEUM is to ARTIFACTS', 'C': 'OVEN is to BAKE', 'D': 'RIVER is to FLOW', 'E': 'TARGET is to AIM'}",B,"B: A library is a place where books are stored or kept, just as a museum is a place where artifacts are stored or displayed. The analogy tests the relationship of a storage or containment location to the items it holds. Option A is close but represents a natural grouping rather than a built storage space. The other options involve tools for actions or purposes rather than storage."
1,Analogies,OCEAN is to BODY OF WATER as …,,"{'A': 'MOUNTAIN is to VALLEY', 'B': 'PIANO is to KEYBOARD', 'C': 'NOVEL is to LITERATURE', 'D': 'PARENT is to CHILD', 'E': 'DOG is to WOLF'}",C,"C: An ocean is a specific type or example of a body of water, similar to how a novel is a specific type or example of literature. This analogy examines the part-to-whole or example-to-category relationship. Options A and E show opposites or related pairs, while B and D involve instruments or familial connections, not categorical examples."
2,Analogies,GARAGE is to VEHICLES as …,,"{'A': 'STORM is to RAIN', 'B': 'ENGINE is to MACHINE', 'C': 'ELEPHANT is to HERD', 'D': 'COOKBOOK is to RECIPES', 'E': 'PREQUEL is to SEQUENCE'}",D,"D: A cookbook is a collection or “container” for recipes, similar to a garage for vehicles. The analogy is about something that holds or organizes specific items. Options A (cause-effect), B (part-whole), C (member-group), E (part-sequence) are distractors."
3,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. Despite the team's initial _________, bolstered by their early successes, they soon realized the project required far more resources than anticipated.",,"{'A': 'optimism', 'B': 'pessimism', 'C': 'skepticism', 'D': 'cynicism', 'E': 'fatalism'}",A,"A: The sentence describes a team that started with positive expectations due to early successes but later faced challenges, so “optimism” fits the context of initial high hopes. The other options imply negative attitudes (pessimism, skepticism, cynicism, fatalism), which contrast with the “bolstered by their early successes” clue."
4,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The detective presented the evidence under the _________ of routine procedure, but in truth, it was a calculated move to _________ the suspect's confession.",,"{'A': 'pretense ... elicit', 'B': 'openness ... suppress', 'C': 'veil ... enhance', 'D': 'cover ... conceal', 'E': 'banner ... undermine'}",A,"A: The sentence indicates the detective was pretending the evidence presentation was routine, but the real intent was to draw out or provoke a confession, making “pretense” (a false show) and “elicit” (to draw out) the best fit. Options B and E suggest honesty or promotion, which don't align with the hidden motive. C and D involve hiding but don't match the goal of obtaining a confession."
5,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. Seemingly _________ by the strict rules of the competition, the athlete chose to ignore them entirely and pursue her own unorthodox strategy.",,"{'A': 'encouraged', 'B': 'restricted', 'C': 'emboldened', 'D': 'liberated', 'E': 'undeterred'}",E,"E: The sentence shows the athlete was apparently not held back or discouraged by the rules, as she ignored them to follow her own path, so “undeterred” (not discouraged or prevented) fits the contrast implied by “seemingly” and the decision to proceed unconventionally. Options A and C suggest positive motivation from the rules, which doesn't match ignoring them. B and D imply limitation or freedom, but not the lack of influence."
6,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The team's decision to implement the new software gradually meant that it was challenging to _________ its impact, and the _________ of the system were not fully understood until several months later, when productivity began to decline.",,"{'A': 'assess ... benefits', 'B': 'envision ... outcomes', 'C': 'track ... drawbacks', 'D': 'evaluate ... features', 'E': 'quantify ... constraints'}",C,"C: The sentence describes a gradual implementation of a new software system, making it difficult to understand its impact initially, with negative consequences (declining productivity) becoming clear later. The first blank requires a verb that means observing or monitoring progress over time, and “track” fits best as it implies following the development or impact of something. The second blank needs a noun that aligns with the negative outcome (declining productivity), and “drawbacks” is the most appropriate choice, as it refers to disadvantages or negative aspects of the system."
7,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence. The passionate keynote speaker, who delivered an inspiring speech at the annual conference, _________ the audience to take immediate action to support the environmental initiative.",,"{'A': 'deceived', 'B': 'urged', 'C': 'uncovered', 'D': 'expressed', 'E': 'ensnared'}",B,"B: The sentence describes a keynote speaker delivering an inspiring speech to motivate the audience to support an environmental initiative. The blank requires a verb that conveys a strong call to action. “Urged” is the best fit, as it means to strongly encourage or persuade someone to act, aligning with the inspiring and motivational context."
8,Opposites,Choose the word that is most nearly OPPOSITE to the word in capital letters. SPURIOUS,,"{'A': 'authentic', 'B': 'costly', 'C': 'refurbished', 'D': 'fabricated', 'E': 'overstated'}",A,"A: “Spurious” means false, fake, or not genuine, often used to describe something that appears to be true but is not. The opposite of “spurious” would be a word meaning genuine or true. “Authentic” is the best choice, as it directly means genuine or real, clearly opposing the meaning of “spurious.”"
9,Opposites,Choose the word that is most nearly OPPOSITE to the word in capital letters. ALLEGED,,"{'A': 'confirmed', 'B': 'suspected', 'C': 'disputed', 'D': 'rumored', 'E': 'plausible'}",A,"A: “Alleged” means claimed or asserted without proof, often implying uncertainty. The opposite is a word meaning verified or proven to be true. “Confirmed” is the best choice, as it directly means established as true, opposing the uncertainty of “alleged.” Incorrect options (suspected, disputed, rumored, plausible) either align with uncertainty or are unrelated to the concept of proof."
